,0,score,known
728,LGALS1,0.7106301617159545,0
729,NPC2,0.7102124775689005,0
730,MAPK13,0.7102095434299516,0
731,ANO8,0.7098241989694138,0
732,HMGCL,0.7097985430041175,0
733,PRL,0.7096668684179235,0
734,AWAT2,0.7096584792464239,0
735,HIBADH,0.7086849956680558,0
736,PTPRN,0.7083724208508679,0
737,GIF,0.708356098073744,0
738,HACL1,0.7081159601129076,0
739,IGFBP5,0.7079788095648897,0
740,F13B,0.7078953018010382,0
741,ITGAV,0.7075632808497027,0
743,HSD3B7,0.7072946457615441,0
744,VGF,0.7066504448883075,0
745,ABCD2,0.7064780830253977,0
747,CYP8B1,0.7060834322249087,0
748,GNPAT,0.7060653228484427,0
751,EIF2AK3,0.7051209489411208,0
752,S100A9,0.704233409692458,0
753,PTPN6,0.7037377456283321,0
754,RIPK2,0.7036552540808612,0
755,TNR,0.7032348663203323,0
756,PCYT1B,0.7032219200193488,0
757,IL20RB,0.7029927725260057,0
758,MYOCD,0.7029427909467406,0
759,RDH11,0.7027339263847691,0
760,HAO2,0.7027193141814561,0
761,UGT2B7,0.7026668752936067,0
762,TUB,0.7022606223106186,0
764,AGXT2,0.7020787883167666,0
765,RAP1A,0.7016220317532132,0
766,IL7R,0.7014349374444668,0
767,CKAP4,0.7010304723239422,0
768,ADIRF,0.7003517459136458,0
769,FSTL1,0.6997453512695856,0
771,ACSS2,0.6995212914836991,0
772,MST1,0.6986752543782649,0
773,TRAF3,0.6985611230323322,0
774,CUBN,0.6983571694291075,0
775,MAP2K1,0.6982784415943765,0
776,ITGA9,0.6982038962746944,0
777,CYP2S1,0.6978585180623282,0
778,LPIN2,0.6978158214362838,0
779,ITGAL,0.6975952602690524,0
780,LMO4,0.6974303007549539,0
781,GAB1,0.6967757790298491,0
782,NFKB1,0.6966400357609996,0
783,FOSL1,0.6966206541448379,0
784,SNCA,0.696051883400582,0
785,ALDH9A1,0.6958059817138411,0
786,TNK2,0.6957758349519436,0
787,NOMO3,0.6952911447886545,0
788,ACSM4,0.6947890571891738,0
789,ALDH3B2,0.6947816987633403,0
790,PEX10,0.6947574811625882,0
791,AMELX,0.6947145160813895,0
792,ERBB4,0.6941733247938295,0
793,XIAP,0.6939277583093902,0
795,CMA1,0.6934568545385843,0
796,ENSG00000168970,0.6932542836271859,0
797,PDGFB,0.6932467519462121,0
798,TRADD,0.6931392911460325,0
799,HCCS,0.6928173410991287,0
800,HADHB,0.6927919357896953,0
801,PEX19,0.6927749356676327,0
802,NCOA7,0.6921303236529494,0
803,TYSND1,0.6919408645207566,0
804,FGFR4,0.6916515836056156,0
805,PDK2,0.6915259864419481,0
806,BPIFB2,0.6913801442286877,0
809,VWA1,0.6911551245769627,0
811,CD80,0.6909188665241263,0
812,AACS,0.6908354063285754,0
813,MAP3K3,0.6903711013795112,0
816,F10,0.690167513344645,0
817,PDGFRB,0.6901311055911267,0
818,ZDHHC8,0.6899966830241999,0
819,SUCLG2,0.6899543490904188,0
820,TAB3,0.6898750946666695,0
821,HDC,0.689218426207778,0
822,TGFB2,0.688878311667457,0
823,AGRN,0.688770590431801,0
824,ENAM,0.6885860424839286,0
825,PEX16,0.6885648708389162,0
826,LMF2,0.6885359775150485,0
827,ACACB,0.6883531652419962,0
828,DCN,0.6883004890414812,0
829,ANXA5,0.688153825172801,0
830,MCCC1,0.6880444094147675,0
831,UGT1A5,0.6880328766537166,0
832,FOXG1,0.6879013163105051,0
833,APOC4,0.6873230573070525,0
834,PNMT,0.6871873721933864,0
836,GPC4,0.6870447648537774,0
838,PITX2,0.6869567708096936,0
839,OXCT1,0.6868369188106918,0
840,SLC9A3R2,0.6867036098753948,0
841,AGPS,0.6866722775852145,0
842,CST3,0.686516696850784,0
843,AGRP,0.6855633261860968,0
844,ACLY,0.6855087670953749,0
845,SDC3,0.6852056206960428,0
846,BCL10,0.685159849669282,0
847,ACADSB,0.6845040528903147,0
848,ECH1,0.6844162585903485,0
849,MSR1,0.6843629347987588,0
850,BMF,0.6841564374956034,0
851,PEX13,0.6841432427035278,0
852,ICAM1,0.6837961808619769,0
853,ACAT2,0.6836980471968733,0
854,FOSL2,0.6833874180551847,0
855,PRKCI,0.6833172722211581,0
856,CXCL12,0.6831191808463251,0
857,IGF2,0.6830799382726768,0
858,RDH12,0.6829824650014727,0
859,PRSS23,0.6828050529219611,0
860,SYCN,0.682738326479485,0
861,ECHS1,0.6816295040435358,0
862,ATF3,0.6815541650984777,0
863,BGLAP,0.6804994087097629,0
864,ACSM6,0.6804940879406679,0
865,NFATC3,0.6798407639633633,0
866,CREB3L2,0.6797070066044124,0
868,HPN,0.6791240786848185,0
869,ACSM1,0.6789877215577124,0
870,UNC93B1,0.6787832568531026,0
871,NUDT7,0.6784594140039988,0
872,PTPRJ,0.6780663396233457,0
873,LPIN3,0.6780647756197304,0
875,SPARCL1,0.6776098420390757,0
876,SRC,0.6776038564388185,0
877,CTRB2,0.6774376959896229,0
878,PLA2G12A,0.6773612727719691,0
879,CTGF,0.6772574981469802,0
880,POU3F2,0.6771520982225003,0
881,NOSTRIN,0.6770678356663686,0
882,ENSG00000224916,0.6769148469807656,0
883,SCG2,0.6759178447310323,0
884,SETD4,0.6758914216132197,0
885,CD83,0.6757581013453078,0
886,PMF1-BGLAP,0.6757444467514605,0
887,PCCA,0.6754490958343451,0
894,MAPK12,0.6742729965918729,0
895,MTG1,0.6741710765800398,0
896,TRPV5,0.674085532990897,0
897,CREBBP,0.674079672745031,0
898,EGF,0.6739870589432102,0
899,LRTOMT,0.6739774734476027,0
900,GCDH,0.6738673573875865,0
902,CD34,0.6737374511637405,0
903,TRAF2,0.6733610498639845,0
904,THRA,0.6733012939940681,0
905,PCSK1N,0.6725280706204799,0
906,NPPA,0.6722209547424781,0
907,DLAT,0.6720996417027748,0
908,HADHA,0.6720858605313269,0
910,MCCC2,0.6717125269577312,0
911,SERPIND1,0.6716814823039291,0
912,ETS2,0.6716651283947871,0
914,ATF6B,0.6713274574644221,0
915,PCCB,0.6711887813769116,0
916,HPR,0.6711168485383188,0
917,HPSE2,0.6709868606266169,0
918,GSTA5,0.6709719322277409,0
919,MST1R,0.6709619606738638,0
920,SLC6A3,0.6707890578575597,0
921,MAP2K2,0.6705164577607606,0
922,CHKB,0.6704953995247629,0
923,AKR7A3,0.6701233989752546,0
924,GATA3,0.6699011536117343,0
925,RDH16,0.6697308802971386,0
926,THPO,0.6696417101165537,0
927,PPIA,0.6695189161263021,0
928,SLC51B,0.6694597210435833,0
