gene,module
CTSS,ME 5
CTSW,ME 29
CTSZ,ME 5
CUL1,ME 2
CUL2,ME 2
CUL3,ME 16
CUL4A,ME 11
CUL4B,ME 2
CUL5,ME 2
CUX1,ME 46
CWC15,ME 4
CWC22,ME 40
CWC27,ME 1
CWF19L1,ME 4
CWF19L2,ME 1
CX3CR1,ME 5
CXCL12,ME 8
CXCR1,ME 20
CXCR2,ME 20
CXCR4,ME 15
CXXC1,ME 16
CXXC5,ME 1
CYB5A,ME 14
CYB5B,ME 2
CYB5R1,ME 12
CYB5R3,ME 10
CYB5R4,ME 13
CYBA,ME 19
CYBB,ME 19
CYBRD1,ME 5
CYC1,ME 11
CYCS,ME 3
CYFIP1,ME 36
CYFIP2,ME 10
CYLD,ME 21
CYP27A1,ME 5
CYP2S1,ME 27
CYP2U1,ME 3
CYP4F3,ME 20
CYP51A1,ME 19
CYP7B1,ME 35
CYSTM1,ME 20
