0,score,known
DBH,0.7114985272492796,0
TLR8,0.7114028290363739,0
CYBB,0.7110652544476982,1
LGALS1,0.7106301617159545,0
NPC2,0.7102124775689005,0
MAPK13,0.7102095434299516,0
ANO8,0.7098241989694138,0
HMGCL,0.7097985430041175,0
PRL,0.7096668684179235,0
AWAT2,0.7096584792464239,0
HIBADH,0.7086849956680558,0
PTPRN,0.7083724208508679,0
GIF,0.708356098073744,0
HACL1,0.7081159601129076,0
IGFBP5,0.7079788095648897,0
F13B,0.7078953018010382,0
ITGAV,0.7075632808497027,0
MMP10,0.7075454316315489,1
HSD3B7,0.7072946457615441,0
VGF,0.7066504448883075,0
ABCD2,0.7064780830253977,0
ORM2,0.7063949738199948,1
CYP8B1,0.7060834322249087,0
GNPAT,0.7060653228484427,0
LIF,0.7056265754961113,1
ADH1A,0.7052452817054281,1
EIF2AK3,0.7051209489411208,0
S100A9,0.704233409692458,0
PTPN6,0.7037377456283321,0
RIPK2,0.7036552540808612,0
TNR,0.7032348663203323,0
PCYT1B,0.7032219200193488,0
IL20RB,0.7029927725260057,0
MYOCD,0.7029427909467406,0
RDH11,0.7027339263847691,0
HAO2,0.7027193141814561,0
UGT2B7,0.7026668752936067,0
TUB,0.7022606223106186,0
ACACA,0.7021687871704879,1
AGXT2,0.7020787883167666,0
RAP1A,0.7016220317532132,0
IL7R,0.7014349374444668,0
CKAP4,0.7010304723239422,0
ADIRF,0.7003517459136458,0
FSTL1,0.6997453512695856,0
TNC,0.699734720622278,1
ACSS2,0.6995212914836991,0
MST1,0.6986752543782649,0
TRAF3,0.6985611230323322,0
CUBN,0.6983571694291075,0
MAP2K1,0.6982784415943765,0
ITGA9,0.6982038962746944,0
CYP2S1,0.6978585180623282,0
LPIN2,0.6978158214362838,0
ITGAL,0.6975952602690524,0
LMO4,0.6974303007549539,0
GAB1,0.6967757790298491,0
NFKB1,0.6966400357609996,0
FOSL1,0.6966206541448379,0
SNCA,0.696051883400582,0
ALDH9A1,0.6958059817138411,0
TNK2,0.6957758349519436,0
NOMO3,0.6952911447886545,0
ACSM4,0.6947890571891738,0
ALDH3B2,0.6947816987633403,0
PEX10,0.6947574811625882,0
AMELX,0.6947145160813895,0
ERBB4,0.6941733247938295,0
XIAP,0.6939277583093902,0
AKR1B10,0.6938590443594566,1
CMA1,0.6934568545385843,0
ENSG00000168970,0.6932542836271859,0
PDGFB,0.6932467519462121,0
TRADD,0.6931392911460325,0
HCCS,0.6928173410991287,0
HADHB,0.6927919357896953,0
PEX19,0.6927749356676327,0
NCOA7,0.6921303236529494,0
TYSND1,0.6919408645207566,0
FGFR4,0.6916515836056156,0
PDK2,0.6915259864419481,0
BPIFB2,0.6913801442286877,0
IL20RA,0.6912352259277805,1
PDIA6,0.691233220696757,1
VWA1,0.6911551245769627,0
GH1,0.6910676873709944,1
CD80,0.6909188665241263,0
AACS,0.6908354063285754,0
MAP3K3,0.6903711013795112,0
GHR,0.6903045550817061,1
ITIH2,0.6902979412131975,1
F10,0.690167513344645,0
PDGFRB,0.6901311055911267,0
ZDHHC8,0.6899966830241999,0
SUCLG2,0.6899543490904188,0
TAB3,0.6898750946666695,0
HDC,0.689218426207778,0
TGFB2,0.688878311667457,0
AGRN,0.688770590431801,0
ENAM,0.6885860424839286,0
PEX16,0.6885648708389162,0
LMF2,0.6885359775150485,0
ACACB,0.6883531652419962,0
DCN,0.6883004890414812,0
ANXA5,0.688153825172801,0
MCCC1,0.6880444094147675,0
UGT1A5,0.6880328766537166,0
FOXG1,0.6879013163105051,0
APOC4,0.6873230573070525,0
PNMT,0.6871873721933864,0
BCL2A1,0.6870823527653341,1
GPC4,0.6870447648537774,0
LEP,0.687028509733853,1
PITX2,0.6869567708096936,0
OXCT1,0.6868369188106918,0
SLC9A3R2,0.6867036098753948,0
AGPS,0.6866722775852145,0
CST3,0.686516696850784,0
AGRP,0.6855633261860968,0
ACLY,0.6855087670953749,0
SDC3,0.6852056206960428,0
BCL10,0.685159849669282,0
